Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,41.50603554,-81.69956958,Taylor Swift reputation Stadium Tour,495.5,45.5,7/17/18,Pop,"""FirstEnergy Stadium, Home of the Cleveland Browns""",KovZpZAFdEJA
Metal,41.5426094,-87.7711753,Ozzy Osbourne: No More Tours 2,250,29.5,9/21/18,Heavy Metal,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Lynyrd Skynyrd: Last of the Street Survivors Farewell Tour,199.5,29.5,8/3/18,Pop,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Imagine Dragons: EVOLVE TOUR,146,35,7/13/18,Pop,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Pop,41.5426094,-87.7711753,The Adventures of Kesha and Macklemore,137,30.5,7/14/18,Pop,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,End Of The World Tour: Avenged Sevenfold With Prophets Of Rage,136,29.5,8/11/18,Alternative Rock,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Pentatonix,129.5,18.75,9/16/18,Pop,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Breaking Benjamin and Five Finger Death Punch,100,30,8/29/18,Alternative Rock,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Weezer / Pixies,93,25,7/7/18,Alternative Rock,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,41.5426094,-87.7711753,Ticket To Rock,89,69,12/1/18,Alternative Rock,"""Hollywood Casino Amphitheatre - Chicago, IL""",KovZpZAEktFA
Rock,38.7456419,-90.469956,Rod Stewart W/ Special Guest Cyndi Lauper,500,30,8/19/18,Pop,"""Hollywood Casino Amphitheatre - St. Louis, MO""",KovZpZAEAnaA
Rock,38.7456419,-90.469956,John Fogerty / ZZ Top: Blues And Bayous Tour,179.5,25,6/17/18,Pop,"""Hollywood Casino Amphitheatre - St. Louis, MO""",KovZpZAEAnaA
Rock,38.7456419,-90.469956,Pointfest presented by 105.7 The Point,149,29.5,5/12/18,Alternative Rock,"""Hollywood Casino Amphitheatre - St. Louis, MO""",KovZpZAEAnaA
Rock,38.7456419,-90.469956,Imagine Dragons: EVOLVE TOUR,144,35,7/11/18,Pop,"""Hollywood Casino Amphitheatre - St. Louis, MO""",KovZpZAEAnaA
Rock,38.7456419,-90.469956,Evanescence + Lindsey Stirling,108.5,25,7/7/18,Alternative Rock,"""Hollywood Casino Amphitheatre - St. Louis, MO""",KovZpZAEAnaA
