Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Dance/Electronic,45.513901,-122.642799,Nils Frahm,0,0,2018-04-03,Dance/Electronic,Revolution Hall - Portland,Z7r9jZaen_
Dance/Electronic,42.3465,-83.059799,Cut Copy,0,0,2018-04-03,Dance/Electronic,Majestic Theatre-MI,Z6r9jZ1ade
Dance/Electronic,42.35119439,-83.06012884,"Cut Copy, Kauf",0,0,2018-04-03,Club Dance,Majestic Theatre,KovZpZAFJEJA
Dance/Electronic,42.644402,-83.274696,Timeflies,0,0,2018-04-03,Dance/Electronic,The Crofoot Ballroom,ZFr9jZkkvd
Dance/Electronic,39.77464676,-86.15145874,Monster Energy Outbreak Tour presents: Kayzo,25.0,20.0,2018-04-03,Club Dance,Deluxe at Old National Centre,KovZpZAEAkeA
Dance/Electronic,41.8204,-71.412804,Sylvan Esso,0,0,2018-04-04,Dance/Electronic,Strand Theatre-RI,ZFr9jZe67v
Dance/Electronic,47.576599,-122.331596,Chromeo,0,0,2018-04-04,Dance/Electronic,Showbox SODO,ZFr9jZkAak
Dance/Electronic,35.279367,-120.664127,Miknna | Quirk the Band,0,0,2018-04-04,Club Dance,Concerts at SLO Brew,KovZpZAknt6A
Dance/Electronic,39.869202,-86.145795,Cut Copy at The Vogue,0,0,2018-04-04,Club Dance,The Vogue,KovZpZAEktEA
Dance/Electronic,39.867298,-86.108002,Cut Copy,0,0,2018-04-04,Dance/Electronic,Vogue Theatre - IN,ZFr9jZea7v
Dance/Electronic,30.267733,-97.740728,Penguin Prison W/ Slomo Drags,0,0,2018-04-05,Club Dance,Parish Austin,KovZpZAknevA
Dance/Electronic,42.363501,-71.10162,"Govinda, Kaminanda, Templo",0,0,2018-04-05,Club Dance,Sonia,KovZpZAklElA
Dance/Electronic,35.964851,-83.929618,Bass Nation Knoxville Feat. Kayzo,0,0,2018-04-05,Club Dance,The International,KovZpaF-be
Dance/Electronic,39.057155,-94.586406,A-Trak,0,0,2018-04-06,Club Dance,Aura,KovZpZAkn7AA
Dance/Electronic,37.769732,-122.420284,"Baisakhi Festival, Sukhi Dholi, DJ GT, Hosted By DJ Prashant",0,0,2018-04-06,Club Dance,Brick & Mortar Music Hall,KovZpZAd6n6A
Dance/Electronic,32.719404,-117.167835,"Autograf, Win and Woo",0,0,2018-04-06,Club Dance,Music Box,KovZpZAEAvtA
Dance/Electronic,41.920898,-87.702003,Timeflies,0,0,2018-04-06,Dance/Electronic,Concord Music Hall,ZFr9jZ16aA
Dance/Electronic,42.460429,-83.135001,Huxley At Grasshopper Underground,0,0,2018-04-06,Club Dance,The Grasshopper Underground,KovZpZAkInIA
Dance/Electronic,39.964001,-75.147697,Eden,0,0,2018-04-06,Dance/Electronic,Union Transfer,ZFr9jZaAeA
Dance/Electronic,35.964851,-83.929618,Glowrage Paint Party,0,0,2018-04-06,Club Dance,The International,KovZpaF-be
Dance/Electronic,37.793301,-122.421204,Nils Frahm,0,0,2018-04-06,Dance/Electronic,The Regency Ballroom,ZFr9jZ7kv6
Dance/Electronic,45.5303,-122.684799,Chromeo,0,0,2018-04-06,Dance/Electronic,Roseland Theater,ZFr9jZd7dv
Dance/Electronic,40.707104,-73.93308,Sleepy & Boo,0,0,2018-04-06,Club Dance,The Safari Room at El Cortez ,KovZpZAd67tA
Dance/Electronic,45.523359,-122.676564,"Ostara: an Evening W/ Hux Flux, Gorilldust, Deafchild and Balam",0,0,2018-04-06,Club Dance,Star Theater,KovZpZAEddaA
Dance/Electronic,37.041199,-122.124001,Buku,0,0,2018-04-06,Dance/Electronic,The Catalyst-CA,ZFr9jZd7AA
