Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Hip-Hop/Rap,32.74790427,-97.09345578,JAY-Z and BEYONCÉ - OTR II,320.0,20.0,2018-09-11,Urban,AT&T Stadium,KovZpZAJvndA
Hip-Hop/Rap,29.9516662,-90.0784059,JAY-Z and BEYONCÉ - OTR II,290.0,20.0,2018-09-13,Urban,Mercedes-Benz Superdome ,KovZpZA6tdnA
Hip-Hop/Rap,29.684846,-95.407763,JAY-Z and BEYONCÉ - OTR II,320.0,20.0,2018-09-15,Urban,NRG Stadium,KovZpZAEdFeA
Hip-Hop/Rap,33.527308,-112.262258,JAY-Z and BEYONCÉ - OTR II,320.0,20.0,2018-09-19,Urban,University of Phoenix Stadium,KovZpZAFaeIA
Hip-Hop/Rap,34.16146505,-118.16751312,JAY-Z and BEYONCÉ - OTR II,350.0,20.0,2018-09-22,Urban,Rose Bowl,KovZpZAEA66A
Hip-Hop/Rap,32.78324558,-117.11912828,JAY-Z and BEYONCÉ - OTR II,350.0,20.0,2018-09-27,Urban,SDCCU Stadium (Formerly Qualcomm Stadium),KovZpZAJE1dA
Hip-Hop/Rap,37.40367671,-121.97034311,JAY-Z and BEYONCÉ - OTR II,350.0,20.0,2018-09-29,Urban,Levi's® Stadium,KovZpZAJaFkA
Hip-Hop/Rap,61.2175806,-149.8925421,DMX & Zed's Dead Two Show Combo,75.0,75.0,2017-03-31,Urban,William a Egan Civic and Convention Center,KovZpZAdE17A
Hip-Hop/Rap,39.66774,-105.208969,Gramatik,0,0,2018-09-01,Urban,Red Rocks Amphitheatre,KovZpZAaeIvA
Hip-Hop/Rap,33.9869191,-84.0907288,Childish Gambino,0,0,2018-09-06,Urban,Infinite Energy Arena,KovZpZAEkdvA
Hip-Hop/Rap,34.037998,-84.169502,Childish Gambino,0,0,2018-09-06,Hip-Hop/Rap,Infinite Energy Center,Z6r9jZ6aFe
Hip-Hop/Rap,42.180901,-87.810097,50 Cent,0,0,2018-09-06,Hip-Hop/Rap,Ravinia,ZFr9jZe71v
Hip-Hop/Rap,41.88124412,-87.67427375,Childish Gambino,129.5,49.5,2018-09-08,Urban,United Center,KovZpa2M7e
Hip-Hop/Rap,42.365841,-71.060724,Childish Gambino,125.0,45.0,2018-09-12,Urban,TD Garden,KovZpa2gne
Hip-Hop/Rap,40.7497062,-73.9916006,Childish Gambino,129.5,49.5,2018-09-14,Urban,Madison Square Garden,KovZpZA7AAEA
Hip-Hop/Rap,39.904551,-75.1736273,Childish Gambino,0,0,2018-09-18,Urban,Wells Fargo Center ,KovZpZAF6FtA
Hip-Hop/Rap,39.910999,-75.153397,Childish Gambino,0,0,2018-09-18,Hip-Hop/Rap,Wells Fargo Center-PA,Z6r9jZk6Ae
Hip-Hop/Rap,38.897412,-77.020029,Childish Gambino,129.5,49.5,2018-09-19,Urban,Capital One Arena,KovZpaKuJe
Hip-Hop/Rap,29.7520386,-95.3623133,Childish Gambino,0,0,2018-09-22,Urban,Toyota Center,KovZpZAJJIIA
Hip-Hop/Rap,29.759399,-95.362999,Childish Gambino,0,0,2018-09-22,Hip-Hop/Rap,Toyota Center - TX,ZFr9jZ7v7v
Hip-Hop/Rap,32.79067196,-96.81081803,Childish Gambino,129.5,49.5,2018-09-23,Urban,American Airlines Center,KovZpZAJ67eA
Hip-Hop/Rap,33.9583,-118.341868,Childish Gambino,149.5,49.5,2018-09-26,Urban,The Forum,KovZpZAEkn6A
Hip-Hop/Rap,37.7515541,-122.2015715,Childish Gambino,129.5,49.5,2018-09-27,Urban,Oracle Arena,KovZpZAJe6nA
Hip-Hop/Rap,34.074128,-117.551462,Chingo Bling,0,0,2018-09-27,Urban,Ontario Improv,KovZpZAknA1A
Hip-Hop/Rap,47.6221261,-122.35401604,Childish Gambino,124.5,45.5,2018-09-29,Urban,KeyArena,KovZpZAJdt1A
