Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Metal,39.741126,-75.550253,Hatebreed,17.0,17.0,2018-05-03,Heavy Metal,The Queen,KovZ917A2T0
Metal,39.09210587,-84.49312592,The Skull,0,0,2018-05-03,Heavy Metal,The Southgate House Revival - The Sanctuary,KovZpZAF1AnA
Metal,42.3312176,-83.3896222,Soulfly / Nile,0,0,2018-05-03,Heavy Metal,The Token Lounge,KovZpZAF6nJA
Metal,42.3609933,-71.0962768,Anvil,0,0,2018-05-04,Heavy Metal,Middle East,KovZpaoV7e
Metal,41.5038822,-81.65394388,Nile & Soulfly,0,0,2018-05-04,Heavy Metal,The Agora Theatre,KovZpZAJda6A
Metal,42.40385055,-82.96627808,"The Skull, Coven 13, FD-117",0,0,2018-05-04,Heavy Metal,Harpo's,KovZpZAdElEA
Metal,42.733166,-84.513555,"The Revenant, Tomb of Teeth, Knives Are Quiet, Hordes",0,0,2018-05-04,Heavy Metal,Mac's Bar,KovZpZAFE1IA
Metal,32.7163734,-117.16008559,TesseracT,45.0,22.5,2018-05-04,Heavy Metal,House of Blues San Diego,KovZpZAEAltA
Metal,35.964851,-83.929618,Avatar,0,0,2018-05-05,Heavy Metal,The International,KovZpaF-be
Metal,33.751769,-84.389681,Shaky Knees Presents: The Melvins w/ All Souls,23.0,23.0,2018-05-05,Heavy Metal,The Masquerade,KovZpa2WHe
Metal,36.769107,-76.103685,FM99's Lunatic Luau 18,50.99,6.99,2018-05-05,Heavy Metal,Veterans United Home Loans Amphitheater at Virginia Beach,KovZpZAEAIdA
Metal,41.52768,-88.08213,"Nile, Soulfly, God Dementia, Orinoco, Beneath the Hollow",0,0,2018-05-06,Heavy Metal,The Forge,KovZpaCRXe
Metal,34.071091,-117.36145,"Hemlock, Sevidemic, Ne Last Words, Perfidious Sin",0,0,2018-05-06,Heavy Metal,The Hub Bar and Grill,KovZpaCHfe
Metal,32.21759,-110.974958,GHOST,57.5,37.5,2018-05-06,Heavy Metal,Tucson Music Hall,KovZpa3PYe
Metal,40.3563327,-75.9196123,Butcher Babies - Kings and Queens Tour,22.0,20.0,2018-05-07,Heavy Metal,Reverb,KovZpZAdJ16A
Metal,33.421385,-111.893092,Escape the Fate,0,0,2018-05-08,Heavy Metal,Club Red,KovZpZAJnEkA
Metal,29.7628087,-95.3672891,AN EVENING WITH GHOST,58.5,38.5,2018-05-08,Heavy Metal,Revention Music Center,KovZpZAEkIIA
Metal,38.569993,-121.49087928,Morbid Angel,0,0,2018-05-08,Heavy Metal,Ace of Spades,KovZpZAJ6lvA
Metal,42.95989064,-85.67412508,Parkway Drive - US Spring Tour 2018,0,0,2018-05-09,Heavy Metal,The Intersection,KovZpZAJ61lA
Metal,30.691235,-88.043447,Stone Sour,0,0,2018-05-09,Heavy Metal,Soul Kitchen,KovZpZAFEeIA
Metal,34.0907726,-118.3857334,Adler's Appetite,0,0,2018-05-10,Heavy Metal,Whisky A Go Go,KovZpZAJAAIA
Metal,42.35859995,-83.06075954,Pillorian W/ Druden and Taarna,0,0,2018-05-10,Heavy Metal,Dante's,KovZpZAEddeA
Metal,43.161853,-77.588084,Obituary,0,0,2018-05-10,Heavy Metal,The Basement @ Main Street Armory,KovZpZA6eE7A
Metal,43.613149,-116.207134,"Blistered Earth - the Ultimate Tribute To Metallica, Traitors Gate, Ha",0,0,2018-05-11,Heavy Metal,Knitting Factory Concert House - Boise,KovZpZAEkdEA
Metal,32.78521325,-96.80851279,BABYMETAL,49.5,35.0,2018-05-11,Heavy Metal,House of Blues Dallas,KovZpZAEAF7A
