Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Pop,34.16146505,-118.16751312,Ed Sheeran: 2018 North American Stadium Tour,125.0,39.5,2018-08-18,Pop,Rose Bowl,KovZpZAEA66A
Pop,37.77840589,-122.38944009,Ed Sheeran: 2018 North American Stadium Tour,125.0,39.5,2018-08-21,Pop,AT & T Park,KovZpZAJF7EA
Pop,33.700591,-84.388851,The Adventures of Kesha and Macklemore,200.0,30.5,2018-08-02,Pop,Cellairis Amphitheatre at Lakewood,KovZpZAEkeFA
Pop,47.596704,-122.332085,Ed Sheeran: 2018 North American Stadium Tour,115.5,35.5,2018-08-25,Pop,CenturyLink Field,KovZpZAEknnA
Pop,35.327362,-80.7106699,The Adventures of Kesha and Macklemore,113.0,30.5,2018-08-01,Pop,PNC Music Pavilion,KovZpZAEkeJA
Pop,27.993555,-82.36465,The Adventures of Kesha and Macklemore,118.0,22.5,2018-08-05,Pop,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,KovZpZAEkA7A
Pop,40.6143211,-75.3569211,Yanni 25 - Acropolis Anniversary Concert Tour,79.5,59.5,2018-08-01,Adult Contemporary,Sands Bethlehem Event Center ,KovZpaoMOe
Pop,25.781232,-80.187805,The Adventures of Kesha and Macklemore,122.0,36.5,2018-08-04,Pop,AmericanAirlines Arena,KovZpZAJtFaA
Pop,40.77517125,-73.56055321,Air Supply,129.5,29.5,2018-08-11,Adult Contemporary,NYCB Theatre at Westbury,KovZpZAEAEaA
Pop,42.34851323,-71.03587836,Yanni 25 - Acropolis Anniversary Concert Tour,125.0,40.0,2018-08-05,Adult Contemporary,Blue Hills Bank Pavilion,KovZpZAEAdEA
Pop,42.333185,-83.025892,Rachelle Ferrell,36.0,15.0,2018-08-29,Adult Contemporary,Chene Park,KovZpa31me
Pop,38.839787,-77.061339,JEFF DANIELS and the BEN DANIELS BAND,39.5,39.5,2018-08-18,Adult Contemporary,Birchmere,KovZpa3rme
Pop,36.11376452,-115.16889906,Wayne Newton Up Close And Personal,178.0,71.0,2018-07-31,Adult Contemporary,Windows at Bally's Las Vegas,KovZpZAJalFA
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-08-01,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,45.513901,-122.642799,Toto,0,0,2018-08-01,Pop Rock,Revolution Hall - Portland,Z7r9jZaen_
Pop,32.216702,-110.970901,Beach House,0,0,2018-08-02,Pop Rock,Rialto Theatre-Tucson,ZFr9jZd7kd
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-08-02,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,34.088902,-118.326599,Beach House,0,0,2018-08-03,Pop Rock,Hollywood Forever Cemetary,ZFr9jZFFaA
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-08-03,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,39.376797,-74.435366,Yanni,0,0,2018-08-03,Adult Contemporary,Borgata Event Center,KovZpapVCe
Pop,40.607101,-75.476402,Rod Stewart,0,0,2018-08-03,Adult Contemporary,PPL Center,Z7r9jZaeqE
Pop,47.657309,-117.42578,Black Happy,0,0,2018-08-03,Pop,Knitting Factory Concert House - Spokane,KovZpZAaIkAA
Pop,34.088902,-118.326599,Beach House,0,0,2018-08-04,Pop Rock,Hollywood Forever Cemetary,ZFr9jZFFaA
Pop,36.11629558,-115.17230026,Frank Marino's Divas,108.99,68.99,2018-08-04,Pop,Mat Franco Theater at The Linq,KovZpZAJaJ7A
Pop,34.414751,-118.558256,Air Supply,98.0,68.0,2018-08-04,Adult Contemporary,The Canyon Santa Clarita,KovZ917A8p0
