Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,Subgenre,Venue,VenueID
Rock,36.129674,-80.254671,Billy Joel,159.5,59.5,2018-10-13,Pop,BB&T Field,KovZ917AGEV
Rock,40.68350417,-73.97661659,Bruno Mars: 24K Magic World Tour,236.0,81.0,2018-10-05,Pop,Barclays Center,KovZpakSbe
Rock,40.68350417,-73.97661659,Bruno Mars: 24K Magic World Tour,236.0,81.0,2018-10-04,Pop,Barclays Center,KovZpakSbe
Rock,36.159949,-86.77857,Bruno Mars: 24K Magic World Tour,195.0,55.0,2018-10-07,Pop,Bridgestone Arena,KovZpZA6taAA
Rock,42.365841,-71.060724,Elton John: Farewell Yellow Brick Road,245.0,55.0,2018-10-06,Pop,TD Garden,KovZpa2gne
Rock,40.73340555,-74.17121214,Bruno Mars: 24K Magic World Tour,199.5,79.5,2018-10-01,Pop,Prudential Center,KovZpZAE7vaA
Rock,36.159949,-86.77857,Bruno Mars: 24K Magic World Tour,195.0,55.0,2018-10-08,Pop,Bridgestone Arena,KovZpZA6taAA
Rock,40.72302075,-73.59069438,Elton John: Farewell Yellow Brick Road,248.0,58.0,2018-10-09,Pop,"NYCB LIVE, Home of The Nassau Veterans Memorial Coliseum",KovZpZA7deEA
Rock,42.962098,-85.67158,Elton John: Farewell Yellow Brick Road,224.5,49.5,2018-10-15,Pop,Van Andel Arena,KovZpZAEAlkA
Rock,40.73340555,-74.17121214,Bruno Mars: 24K Magic World Tour,199.5,79.5,2018-10-02,Pop,Prudential Center,KovZpZAE7vaA
Rock,36.15287358,-95.99613726,Bruno Mars: 24K Magic World Tour,172.0,56.5,2018-10-11,Pop,BOK Center,KovZpZAJIndA
Rock,33.9583,-118.341868,Live Nation Presents Journey / Def Leppard,179.5,49.5,2018-10-06,Pop,The Forum,KovZpZAEkn6A
Rock,32.74790427,-97.09345578,Taylor Swift reputation Stadium Tour,1500.0,49.5,2018-10-05,Pop,AT&T Stadium,KovZpZAJvndA
Rock,32.79067196,-96.81081803,Bruno Mars: 24K Magic World Tour,200.0,59.5,2018-10-14,Pop,American Airlines Center,KovZpZAJ67eA
Rock,42.365841,-71.060724,Justin Timberlake - The Man Of The Woods Tour,275.0,55.0,2018-10-18,Pop,TD Garden,KovZpa2gne
Rock,43.04228,-87.916896,Eagles,399.5,59.5,2018-10-18,Pop,Wisconsin Entertainment and Sports Center ,KovZ917A_fV
Rock,41.88124412,-87.67427375,Justin Timberlake - The Man Of The Woods Tour,275.0,55.0,2018-10-05,Pop,United Center,KovZpa2M7e
Rock,38.580372,-121.500231,Live Nation Presents Journey / Def Leppard,175.94,45.94,2018-10-04,Pop,Golden 1 Center,KovZpZAEF76A
Rock,40.7497062,-73.9916006,Elton John: Farewell Yellow Brick Road,249.5,59.5,2018-10-18,Pop,Madison Square Garden,KovZpZA7AAEA
Rock,40.7497062,-73.9916006,Elton John: Farewell Yellow Brick Road,249.5,59.5,2018-10-19,Pop,Madison Square Garden,KovZpZA7AAEA
Rock,32.74790427,-97.09345578,Taylor Swift reputation Stadium Tour,1500.0,49.5,2018-10-06,Pop,AT&T Stadium,KovZpZAJvndA
Rock,40.7497062,-73.9916006,Justin Timberlake - The Man Of The Woods Tour,281.0,61.0,2018-10-24,Pop,Madison Square Garden,KovZpZA7AAEA
Rock,36.159949,-86.77857,Elton John: Farewell Yellow Brick Road,245.0,55.0,2018-10-24,Pop,Bridgestone Arena,KovZpZA6taAA
Rock,32.79067196,-96.81081803,Bruno Mars: 24K Magic World Tour,200.0,59.5,2018-10-15,Pop,American Airlines Center,KovZpZAJ67eA
Rock,41.88124412,-87.67427375,Elton John: Farewell Yellow Brick Road,249.5,59.5,2018-10-26,Pop,United Center,KovZpa2M7e
